; CSV, generated by DSView, sampled on 2025-08-30 21:34:11
; Channels (3/16)
; Sample rate: 100 MHz
; Sample count: 2.896 M Samples
Time(s), 0, 1, 2
6.835e-05,1,0,0
6.84e-05,0,0,0
6.855e-05,1,0,0
6.86e-05,0,0,0
6.875e-05,1,0,0
6.879e-05,0,0,0
6.895e-05,1,0,0
6.9e-05,0,0,0
6.915e-05,1,0,0
6.92e-05,0,0,0
6.935e-05,1,0,0
6.94e-05,0,0,0
6.955e-05,1,0,0
6.959e-05,0,0,0
6.975e-05,1,0,0
6.979e-05,0,0,0
6.995e-05,1,0,0
7e-05,0,0,0
7.015e-05,1,0,0
7.02e-05,0,0,0
7.035e-05,1,0,0
7.04e-05,0,0,0
7.055e-05,1,0,0
7.06e-05,0,0,0
7.075e-05,1,0,0
7.079e-05,0,0,0
7.095e-05,1,0,0
7.1e-05,0,0,0
7.115e-05,1,0,0
7.119e-05,0,0,0
7.135e-05,1,0,0
7.14e-05,0,0,0
7.155e-05,1,0,0
7.16e-05,0,0,0
7.175e-05,1,0,0
7.18e-05,0,0,0
7.195e-05,1,0,0
7.2e-05,0,0,0
7.215e-05,1,0,0
7.22e-05,0,0,0
7.235e-05,1,0,0
7.24e-05,0,0,0
7.255e-05,1,0,0
7.26e-05,0,0,0
7.275e-05,1,0,0
7.279e-05,0,0,0
7.295e-05,1,0,0
7.3e-05,0,0,0
7.315e-05,1,0,0
7.32e-05,0,0,0
7.335e-05,1,0,0
7.34e-05,0,0,0
7.355e-05,1,0,0
7.36e-05,0,0,0
7.376e-05,1,0,0
7.381e-05,0,0,0
7.395e-05,1,0,0
7.4e-05,0,0,0
7.416e-05,1,0,0
7.421e-05,0,0,0
7.435e-05,1,0,0
7.439e-05,0,0,0
7.455e-05,1,0,0
7.459e-05,0,0,0
7.475e-05,1,0,0
7.479e-05,0,0,0
7.495e-05,1,0,0
7.5e-05,0,0,0
7.515e-05,1,0,0
7.52e-05,0,0,0
7.535e-05,1,0,0
7.54e-05,0,0,0
7.555e-05,1,0,0
7.56e-05,0,0,0
7.575e-05,1,0,0
7.58e-05,0,0,0
7.595e-05,1,0,0
7.6e-05,0,0,0
7.615e-05,1,0,0
7.62e-05,0,0,0
7.635e-05,1,0,0
7.64e-05,0,0,0
7.655e-05,1,0,0
7.66e-05,0,0,0
7.675e-05,1,0,0
7.68e-05,0,0,0
7.695e-05,1,0,0
7.7e-05,0,0,0
7.715e-05,1,0,0
7.72e-05,0,0,0
7.735e-05,1,0,0
7.739e-05,0,0,0
7.755e-05,1,0,0
7.76e-05,0,0,0
7.775e-05,1,0,0
7.78e-05,0,0,0
7.795e-05,1,0,0
7.799e-05,0,0,0
7.815e-05,1,0,0
7.82e-05,0,0,0
7.836e-05,1,0,0
7.841e-05,0,0,0
7.856e-05,1,0,0
7.861e-05,0,0,0
7.876e-05,1,0,0
7.881e-05,0,0,0
7.895e-05,1,0,0
7.9e-05,0,0,0
7.915e-05,1,0,0
7.92e-05,0,0,0
7.935e-05,1,0,0
7.94e-05,0,0,0
7.955e-05,1,0,0
7.959e-05,0,0,0
7.975e-05,1,0,0
7.98e-05,0,0,0
7.995e-05,1,0,0
8e-05,0,0,0
8.016e-05,1,0,0
8.021e-05,0,0,0
8.035e-05,1,0,0
8.04e-05,0,0,0
8.055e-05,1,0,0
8.059e-05,0,0,0
8.075e-05,1,0,0
8.079e-05,0,0,0
8.095e-05,1,0,0
8.1e-05,0,0,0
8.115e-05,1,0,0
8.12e-05,0,0,0
8.135e-05,1,0,0
8.14e-05,0,0,0
8.155e-05,1,0,0
8.16e-05,0,0,0
8.176e-05,1,0,0
8.181e-05,0,0,0
8.195e-05,1,0,0
8.2e-05,0,0,0
8.215e-05,1,0,0
8.22e-05,0,0,0
8.236e-05,1,0,0
8.24e-05,0,0,0
8.256e-05,1,0,0
8.261e-05,0,0,0
8.276e-05,1,0,0
8.28e-05,0,0,0
8.295e-05,1,0,0
8.3e-05,0,0,0
8.315e-05,1,0,0
8.32e-05,0,0,0
8.335e-05,1,0,0
8.34e-05,0,0,0
8.355e-05,1,0,0
8.36e-05,0,0,0
8.375e-05,1,0,0
8.38e-05,0,0,0
8.396e-05,1,0,0
8.401e-05,0,0,0
8.416e-05,1,0,0
8.421e-05,0,0,0
8.436e-05,1,0,0
8.441e-05,0,0,0
8.456e-05,1,0,0
8.461e-05,0,0,0
8.475e-05,1,0,0
8.48e-05,0,0,0
8.495e-05,1,0,0
8.5e-05,0,0,0
8.515e-05,1,0,0
8.52e-05,0,0,0
8.535e-05,1,0,0
8.54e-05,0,0,0
8.555e-05,1,0,0
8.56e-05,0,0,0
8.575e-05,1,0,0
8.58e-05,0,0,0
8.596e-05,1,0,0
8.6e-05,0,0,0
8.616e-05,1,0,0
8.621e-05,0,0,0
8.635e-05,1,0,0
8.64e-05,0,0,0
8.655e-05,1,0,0
8.66e-05,0,0,0
8.675e-05,1,0,0
8.68e-05,0,0,0
8.696e-05,1,0,0
8.701e-05,0,0,0
8.716e-05,1,0,0
8.721e-05,0,0,0
8.736e-05,1,0,0
8.741e-05,0,0,0
8.756e-05,1,0,0
8.761e-05,0,0,0
8.776e-05,1,0,0
8.78e-05,0,0,0
8.795e-05,1,0,0
8.8e-05,0,0,0
8.815e-05,1,0,0
8.82e-05,0,0,0
8.835e-05,1,0,0
8.84e-05,0,0,0
8.855e-05,1,0,0
8.86e-05,0,0,0
8.875e-05,1,0,0
8.88e-05,0,0,0
8.895e-05,1,0,0
8.9e-05,0,0,0
8.916e-05,1,0,0
8.921e-05,0,0,0
8.936e-05,1,0,0
8.941e-05,0,0,0
8.956e-05,1,0,0
8.961e-05,0,0,0
8.976e-05,1,0,0
8.98e-05,0,0,0
8.996e-05,1,0,0
9.001e-05,0,0,0
9.016e-05,1,0,0
9.021e-05,0,0,0
9.035e-05,1,0,0
9.04e-05,0,0,0
9.055e-05,1,0,0
9.06e-05,0,0,0
9.075e-05,1,0,0
9.08e-05,0,0,0
9.096e-05,1,0,0
9.101e-05,0,0,0
9.116e-05,1,0,0
9.12e-05,0,0,0
9.136e-05,1,0,0
9.141e-05,0,0,0
9.156e-05,1,0,0
9.161e-05,0,0,0
9.176e-05,1,0,0
9.181e-05,0,0,0
9.196e-05,1,0,0
9.201e-05,0,0,0
9.215e-05,1,0,0
9.22e-05,0,0,0
9.235e-05,1,0,0
9.24e-05,0,0,0
9.255e-05,1,0,0
9.26e-05,0,0,0
9.275e-05,1,0,0
9.28e-05,0,0,0
9.295e-05,1,0,0
9.3e-05,0,0,0
9.315e-05,1,0,0
9.32e-05,0,0,0
9.335e-05,1,0,0
9.34e-05,0,0,0
9.356e-05,1,0,0
9.361e-05,0,0,0
9.376e-05,1,0,0
9.381e-05,0,0,0
9.396e-05,1,0,0
9.401e-05,0,0,0
9.416e-05,1,0,0
9.421e-05,0,0,0
9.435e-05,1,0,0
9.44e-05,0,0,0
9.455e-05,1,0,0
9.46e-05,0,0,0
9.475e-05,1,0,0
9.48e-05,0,0,0
9.495e-05,1,0,0
9.5e-05,0,0,0
9.515e-05,1,0,0
9.52e-05,0,0,0
9.535e-05,1,0,0
9.54e-05,0,0,0
9.555e-05,1,0,0
9.56e-05,0,0,0
9.576e-05,1,0,0
9.581e-05,0,0,0
9.596e-05,1,0,0
9.6e-05,0,0,0
9.616e-05,1,0,0
9.621e-05,0,0,0
9.636e-05,1,0,0
9.641e-05,0,0,0
9.656e-05,1,0,0
9.66e-05,0,0,0
9.675e-05,1,0,0
9.68e-05,0,0,0
9.695e-05,1,0,0
9.7e-05,0,0,0
9.715e-05,1,0,0
9.72e-05,0,0,0
9.735e-05,1,0,0
9.74e-05,0,0,0
9.756e-05,1,0,0
9.761e-05,0,0,0
9.777e-05,1,0,0
9.781e-05,0,0,0
9.796e-05,1,0,0
9.801e-05,0,0,0
9.816e-05,1,0,0
9.821e-05,0,0,0
9.836e-05,1,0,0
9.841e-05,0,0,0
9.855e-05,1,0,0
9.86e-05,0,0,0
9.876e-05,1,0,0
9.881e-05,0,0,0
9.896e-05,1,0,0
9.901e-05,0,0,0
9.916e-05,1,0,0
9.921e-05,0,0,0
9.936e-05,1,0,0
9.941e-05,0,0,0
9.956e-05,1,0,0
9.96e-05,0,0,0
9.975e-05,1,0,0
9.98e-05,0,0,0
9.995e-05,1,0,0
0.0001,0,0,0
0.00010016,1,0,0
0.00010021,0,0,0
0.00010036,1,0,0
0.00010041,0,0,0
0.00010055,1,0,0
0.0001006,0,0,0
0.00010075,1,0,0
0.0001008,0,0,0
0.00010096,1,0,0
0.000101,0,0,0
0.00010116,1,0,0
0.00010121,0,0,0
0.00010136,1,0,0
0.00010141,0,0,0
0.00010156,1,0,0
0.00010161,0,0,0
0.00010176,1,0,0
0.00010181,0,0,0
0.00010195,1,0,0
0.000102,0,0,0
0.00010215,1,0,0
0.0001022,0,0,0
0.00010235,1,0,0
0.0001024,0,0,0
0.00010256,1,0,0
0.00010261,0,0,0
0.00010276,1,0,0
0.00010281,0,0,0
0.00010297,1,0,0
0.00010301,0,0,0
0.00010316,1,0,0
0.00010321,0,0,0
0.00010337,1,0,0
0.00010341,0,0,0
0.00010355,1,0,0
0.0001036,0,0,0
0.00010375,1,0,0
0.0001038,0,0,0
0.00010395,1,0,0
0.000104,0,0,0
0.00010416,1,0,0
0.00010421,0,0,0
0.00010436,1,0,0
0.00010441,0,0,0
0.00010456,1,0,0
0.00010461,0,0,0
0.00010476,1,0,0
0.00010481,0,0,0
0.00010496,1,0,0
0.00010501,0,0,0
0.00010516,1,0,0
0.00010521,0,0,0
0.00010536,1,0,0
0.0001054,0,0,0
0.00010556,1,0,0
